# exp01.yml experiment
time;transaction;price;volume
1;1;101.42;17
5;2;100.80;85
6;3;99.17;54
7;4;99.17;8
7;5;101.42;75
8;6;101.42;4
10;7;101.42;35
11;8;101.42;76
14;9;101.29;57
14;10;95.26;44
15;11;90.38;94
18;12;90.38;92
23;13;90.38;95
28;14;90.38;21
29;15;90.38;35
30;16;90.38;64
32;17;90.38;6
33;18;90.36;65
35;19;90.22;54
36;20;90.22;56
37;21;90.22;95
38;22;90.22;11
40;23;90.22;28
40;24;90.38;70
42;25;90.38;56
43;26;90.38;40
43;27;90.39;21
44;28;90.39;71
45;29;90.39;40
47;30;90.39;81
48;31;90.39;4
48;32;90.42;28
48;33;90.52;30
49;34;90.52;80
50;35;90.52;59
59;36;90.52;68
61;37;90.52;82
63;38;90.52;85
65;39;90.52;81
67;40;90.51;92
68;41;90.03;39
68;42;90.52;5
72;43;90.52;72
73;44;90.52;61
76;45;90.52;79
78;46;90.52;48
79;47;90.52;47
80;48;90.52;57
82;49;90.52;14
82;50;91.30;75
83;51;91.30;33
89;52;91.30;38
92;53;91.30;9
93;54;91.30;67
95;55;91.30;5
97;56;91.30;27
101;57;91.30;78
103;58;91.30;3
107;59;91.30;45
108;60;91.30;38
110;61;91.30;25
111;62;91.30;1
112;63;91.30;18
113;64;91.30;61
114;65;91.30;44
115;66;91.30;70
118;67;91.30;16
119;68;91.30;54
120;69;91.30;67
121;70;91.30;11
121;71;91.86;48
123;72;91.86;100
124;73;90.18;34
124;74;90.09;54
127;75;90.03;22
128;76;90.03;7
134;77;90.03;86
136;78;90.03;73
138;79;90.94;56
139;80;90.94;9
141;81;90.94;84
144;82;90.94;85
145;83;90.94;32
146;84;90.94;4
148;85;90.84;42
149;86;90.84;36
150;87;90.84;37
150;88;90.94;5
152;89;90.94;6
153;90;90.94;100
154;91;90.94;21
156;92;90.94;39
158;93;90.66;19
160;94;90.66;25
162;95;90.66;76
164;96;90.48;29
165;97;90.66;48
167;98;90.66;85
171;99;90.66;7
173;100;90.66;86
174;101;90.66;35
174;102;90.94;35
177;103;90.94;49
178;104;90.94;22
181;105;90.94;82
186;106;90.94;55
190;107;90.94;29
191;108;90.94;12
192;109;90.94;86
192;110;91.50;3
195;111;91.50;14
196;112;91.50;4
198;113;91.50;51
199;114;91.50;41
203;115;91.50;91
206;116;90.48;15
206;117;90.18;66
206;118;90.08;6
208;119;90.01;21
209;120;90.01;27
210;121;90.01;96
215;122;90.01;74
216;123;90.01;56
217;124;90.01;98
221;125;90.01;32
224;126;90.01;25
225;127;90.01;75
227;128;90.01;98
233;129;90.01;26
233;130;91.50;39
234;131;91.50;26
235;132;91.50;43
238;133;91.50;88
239;134;91.50;73
243;135;91.50;82
244;136;91.50;33
246;137;91.50;61
247;138;91.50;73
249;139;91.50;70
253;140;93.15;77
256;141;92.77;34
258;142;90.75;16
259;143;90.75;6
260;144;90.75;70
261;145;90.75;62
262;146;90.75;19
264;147;90.75;42
267;148;90.75;38
269;149;90.01;80
270;150;90.01;18
273;151;90.01;42
275;152;90.01;26
277;153;90.01;43
278;154;90.01;66
284;155;90.01;62
285;156;90.01;86
288;157;90.01;12
289;158;90.01;37
290;159;90.01;13
290;160;90.37;28
295;161;90.37;1
300;162;90.37;5
301;163;90.37;92
304;164;90.37;40
304;165;90.75;11
305;166;90.75;42
306;167;90.75;50
307;168;90.75;7
309;169;90.75;33
310;170;90.75;29
312;171;90.75;33
315;172;90.50;27
318;173;90.50;89
326;174;90.50;29
328;175;90.50;25
328;176;90.75;70
329;177;90.75;3
330;178;90.75;19
332;179;90.75;6
333;180;90.75;19
335;181;90.75;39
336;182;90.75;54
337;183;90.75;25
338;184;90.75;40
342;185;90.75;18
343;186;90.75;70
344;187;90.75;29
344;188;91.14;39
345;189;91.14;15
346;190;91.14;8
347;191;91.14;65
351;192;91.14;97
352;193;91.14;13
353;194;91.14;10
353;195;91.50;1
354;196;91.50;55
354;197;91.81;14
357;198;91.81;43
358;199;91.81;16
359;200;91.81;11
359;201;92.26;58
360;202;92.26;95
364;203;92.26;80
366;204;92.26;69
371;205;92.26;73
378;206;91.61;49
384;207;91.61;88
385;208;91.61;60
386;209;91.61;80
387;210;91.61;63
389;211;91.61;66
394;212;91.61;86
398;213;91.15;37
399;214;91.15;28
400;215;91.15;58
401;216;91.15;60
403;217;91.15;56
404;218;91.15;17
406;219;91.15;98
409;220;91.15;83
410;221;91.15;36
411;222;91.15;2
414;223;91.15;92
418;224;91.15;16
419;225;91.15;45
420;226;91.15;9
421;227;91.15;16
424;228;91.15;55
425;229;91.15;100
427;230;91.15;71
428;231;91.15;90
429;232;91.15;17
433;233;91.15;2
433;234;91.61;35
434;235;91.61;16
435;236;91.61;22
436;237;91.61;38
438;238;91.61;81
440;239;91.07;4
440;240;91.07;9
441;241;91.01;80
448;242;91.01;33
449;243;91.01;54
449;244;91.08;41
452;245;91.08;50
455;246;91.08;100
456;247;91.08;47
457;248;91.08;85
464;249;91.08;5
464;250;91.33;75
465;251;91.33;25
466;252;91.33;44
469;253;91.33;22
